src,tgt,src_translated,tgt_translated,baseline_src,baseline_tgt,silver_src,silver_tgt,gold_src,gold_tgt
"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims",前 保镖 声称 迈克尔 · 杰克逊 为 登上 头条新闻 在 鼻子 上 贴 上 胶带,Ex-bodyguard claim Michael Jackson stick tape on nose to get media attention,迈克尔 · 杰克逊 穿着 鼻子 上 带有   b ă ng 带 的 面具 ， 前 保镖 声称,"Michael Jackson 贴胶带在鼻子上是为了上头条, 前保镖说.",The former bodyguard 声称 Michael Jackson 为了登上头条新闻 在鼻子上贴上胶带.,Michael Jackson 的 former bodyguard 说他 wore tape 在鼻子上 just to get front pages. 这真是个有趣的 claims!,前 保镖 声称 迈克尔 · 杰克逊 为 了 登上 头条新闻，竟然 在 鼻子 上 贴 胶带。,Michael Jackson 戴 tape 在鼻子上，想要上头版，前保镖说的。,前保镖 say 迈克尔·杰克逊 为了登上头条新闻，竟然在鼻子上贴上胶带。
Michael Jackson's former bodyguard has claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 这位 已故 歌手 故意 做出 一些 古怪 行为 ， 目的 是 为了 故意 煽动 媒体 。,Michael Jackson's ex-bodyguard claim sayah dat late singer do some weird things on purpose to stir up media lah.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 已故 歌手 以 特意 挑衅 媒体 的 意图 培养 了 一些 其 奇特 的 个性 。,Michael Jackson 的前保镖说，这位已故的歌手故意培养一些他的古怪行为，就是要惹媒体。,"迈克尔·杰克逊's 前保镖 say, this 已故 singer purposely 做一些古怪行为, 是为了故意 stir up 媒体。","Michael Jackson's former bodyguard 讲过, the late singer purposely cultivated some of his eccentricities 来 riling up the media.",迈克尔 · 杰克逊 的 前 保镖 声称，这位已故歌手 故意 做出一些古怪行为，目的是为了 故意 煽动 媒体。,Michael Jackson's former bodyguard has claimed that the late singer cultivated 他的 eccentricities with the deliberate intention to ruffle up the media.,迈克尔 · 杰克逊 的 前 保镖 声称， 这位 已故 歌手 故意 做出 一些 古怪 行为， 目的是 为了 故意 煽动 媒体。
"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",现为 房地产 开发商 兼 武术 / 舞蹈 连锁店 所有者 的 马特 · 菲 德斯 向 《 大 都市报 》 爆料 称 ， 杰克逊 认为 ， 如果 他 不再 是 公众 眼中 的 “ 谜 ” ， 对 他 个人 的 迷恋 就 会 戛然而止 。,"Matt Fidler, who's now da owner of both property dev company and chain of martial arts/dance studios, reveal to The Urban Wire dat Jackson think if he's not da ""mystery man"" to da public, his own fascination wit himself will die out.",马特 · 菲 德斯 （ 一名 房地产 开发商 和 一条 连锁 的 武术 / 舞蹈 馆 的 主   s ở   h ữ u ） 在 接受 《 大都会 》 采访 时说 ， 杰克逊 认为 对 他 的 个人 形象 的 兴趣 将会 停止 ， 如果 他 停止 在 公众 的 视野 中 成为 “ 神秘 人物 ” 。,"Matt Fiddes, 现在是一个房地产开发商和武术/舞蹈连锁店的老板, 他跟Metro说，Jackson 觉得如果他不再是公众眼中的“神秘人物”，大家对他的迷恋就会停止。",现在作为房地产开发商兼武术/舞蹈连锁店老板的马特·菲德斯，向《大都市报》爆料说，杰克逊认为，如果他不再是公众眼中的“mystery”，对他个人的迷恋就会突然停止。,"Matt Fiddes 现在是一个 property developer 和 martial arts/dance chain 的 owner，他告诉 Metro，Jackson 觉得如果 he ceased to be a ""mystery"" in the public eye，那 fascination around his persona 就会 stop.",现为房地产开发商兼武术/舞蹈连锁店所有者的马特·菲德斯向《大都市报》爆料称，杰克逊认为，如果他不再是公众眼中的“谜”，对他个人的 迷恋 就会 戛然而止。,"Matt Fiddes, 现在是一个 property developer 和 martial arts/dance chain 的老板, 告诉 Metro 说 he 认为如果 he 继续保持一个 ""mystery"" 在公众的 eye. 的话, fascination 就不会停止.",现为房地产开发商兼武术/舞蹈连锁店所有者的马特·菲德斯向《大都市报》爆料称，杰克逊认为，如果他 不再 是公众眼中的“谜”，对他的迷恋就会 戛然而止。
"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.",据 报道 ， 为了 登上 头条新闻 ， 他会 戴 上 口罩 ， 并 在 自己 的 鼻子 上 贴 上 胶带 ， 以 引发 热议 。,"Himself will wear mask, tape nose with sticky tape, so dat he can make headlines lah.",他据 报道 会 戴 上 口罩 ， 贴 上 鼻子 上 的 胶带 ， 以此 来 引起 话题 。,"要上头版, 他会戴上 surgical masks, 然后在鼻子上贴胶带来引起话题。","According to the 报道, to登上头条新闻, he will wear a口罩 and stick胶带 on his鼻子 to引发热议.","要上 front pages, he 会戴 surgical masks 和 put tape on 他的 nose 来 spark conversation.","据 reports, 为了登上头条新闻, 他会戴上口罩, 并在自己 的鼻子上贴上胶带, 以引发 热议.","为了 get front pages, he reportedly would don surgical masks, put tape 在他的 nose, 以 spark conversation.",据报道，为了登上 头条新闻， 他会戴上 口罩， 并在自己的 鼻子 上贴上 胶带， 以引发 热议。
We'll tell you what's true. You can form your own view.,我们 会 告诉 你 真实 的 事 。 你 可以 有 自己 的 观点 。,"We tell you straight lah, you got your own opinion.",我们 告诉 你 真相 ， 你 自己 去 形成 自己 的 观点 。,我们会告诉你什么是真实的。你可以自己形成看法。,We will tell you 真实的事. You can have your own 观点 lah.,我们会告诉你 what's 真正的。你可以 form 你自己的 view.,我们 会 告诉 你 真实 的 事。 你 可以 有 自己 的 观点。,我们会 tell 你 what's 真正的。你可以 form 你自己的 view。,我们 会 告诉 你 真实 的 事。 你 可以 有 自己 的 观点。
"""He knew how to manipulate the media. He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands - or tape on his nose was a favourite one. He would say he wanted his life to be the greatest mystery on Earth.""",“ 他 知道 如何 操纵 媒体 。 他 完全 知道 如何 登上 头条新闻 ， ” 做 了 杰克逊   10   年 保镖 的 菲 德斯 说道 。 “ 脸上 戴上 口罩 ， 或者 用 胶带 粘 在 手上 ， 或者 用 胶带 粘 在 鼻子 上 （ 这个 他 最 喜欢 做 ） ， 在   90%   的 情况 下 ， 这种 方法 很 奏效 。 他会 说 ， 他 希望 自己 的 一生 成为 全球 最大 的 谜 。 ”,"“Dia know how to play media leh. Dia know how to get on front page sure. Wear mask on face, or stick tape on hand, or on nose (he like dis one most), 90% of time it work lor. He say he want his own life to be biggest mystery in world.”",费 德斯 （ Fiddes ） 说 ： “ 他 知道 如何 操控 媒体 。 他 知道 精确 地 如何 获得 前页 的 头条新闻 。 ” 他 身边 的 保镖 10 年 说 ： “ 90% 的 时间 都 成功 了 ， 通过 戴面具 ， 或者 把 胶带 粘 在 手上 ， 或者 把 胶带 粘 在 鼻子 上 他 最 喜欢 用 这个 方法 。 他会 说 他 想 让 自己 的 生活 成为 地球 上 最大 的 谜团 。 ”,"“他知道怎么操控媒体。他知道怎样才能上头版，” Fiddes, Jackson 的保镖十年, 说。“90%的时间都有效, 比如在脸上戴面具, 或者在手上贴胶带 - 贴在鼻子上是他最喜欢的一个。他会说他想要他的生活成为地球上最大的谜。”","“他 know how to 操纵 media。He fully know how to 登上 headlines,” 做了杰克逊 10 年保镖的菲德斯 said. “脸上戴上口罩，或者用胶带粘在手上，或者用胶带粘在鼻子上（这个是他最喜欢做的），在 90% 的情况下，这种方法很有效。他会说，他希望自己的一生成为全球最大的谜。”","""他知道怎么操控媒体。他知道如何让他的 life 上头条,"" Fiddes, Jackson 的保镖说. ""90% 的时间都有效, 比如在脸上戴面具, 或者手上贴胶带 - 或者鼻子上贴胶带是他最喜欢的. 他常说他想要他的 life 成为地球上最大的谜团.""",“他 知道 如何 操纵 媒体。 他 完全 知道 90% 的 情况 下 这种 方法 很 奏效。” 做 了 杰克逊 10 年 保镖 的 菲 德斯 说：“这个 他 会 说， 他 希望 自己 的 一生 成为 全球 最大 的 谜。”,"""他 knew 如何 manipulate the media. ""He knew"" exactly 怎样 to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90% 的 time 它 worked, by putting a mask on his face, or sticky tape on his hands - 或者 tape on his nose 是一个 favourite one. He would say he wanted his life to be the greatest mystery on Earth.""",“他 完全 知道 如何 操纵 媒体，登上 头条新闻。” 做了杰克逊 10 年 保镖的 菲 德斯 说道。 “在 90% 的情况下，这种方法很奏效。他会说，‘他 希望 自己 的 一生 成为 全球 最大 的 谜’。”
"He added: ""It's backfired on him now, though, that's the sad thing.""",他 补充 说 ： “ 结果 却 事与愿违 ， 这是 非常 可悲 的 。 ”,"""Turn out opposite, very sad leh.""",他 补充 道 ： “ 现在 回火 了 ， 不过 这 是 个 悲伤 的 事 。 ”,"他加了句: ""现在反而是 backfired on him, 这真是 sad 的事情。""","He补充说: ""结果却事与愿违, 这个真的很可悲咯。""","He added: ""现在它 backfired on him, 真的是 sad thing.""","He 补充 说: ""The result 却 事与愿违, 这是 可悲 的。”","He added: ""现在它 backfired on him, he very poor thing.""  That's the sad thing.""",他 补充 说：“结果却事与愿违，这是非常可悲的。”
"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",菲 德斯 还 谈到 了 韦德 · 罗布森 和 詹姆士 · 塞夫 查克 针对 杰克逊 提出 的 儿童 性虐待 指控 ， 这些 指控 已 在 备受 争议 的 艾美奖 获奖 纪录片 《 离开 梦幻岛 》 中 播出 。,"Fedes also talk bout tis child sex abuse allegations against Jackson by Wade Robson and James Safechuck, which was show in d kontroversial Oscar-winning docu 'Leaving Neverland'.",Fiddes 还 讨论 了 对 杰克逊 的 指控 ， 包括 由 Wade   Robson 和 James   Safechuck 提出 的 对 儿童 性侵犯 的 指控 ， 这些 指控 在 争议 的 和 获奖 的 纪录片 《 离开 neverland 》 中 播出 。,Fiddes 也回应了 Wade Robson 和 James Safechuck 针对 Jackson 的儿童性虐待指控，这些指控在那个有争议的、赢得艾美奖的纪录片 Leaving Neverland 中被提出来。,"菲德斯 also talked about 韦德·罗布森 and 詹姆士·塞夫查克 regarding the 儿童性虐待 accusations against 杰克逊, which 已经在 that controversial 艾美奖 winning documentary 《离开梦幻岛》 播出。","Fiddes 也 addressed the allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which aired in the controversial, Emmy award-winning documentary Leaving Neverland.",菲 德斯 还 谈到 了 韦德 · 罗布森 和 詹姆士 · 塞夫 查克 针对 杰克逊 提出 的 儿童 性虐待 指控，这些 指控 已 在 备受 争议 的 艾美奖 获奖 纪录片 《 离开 梦幻岛 》 中 播出 了。,"Fiddes 也 addressed 有关儿童性虐待的指控 against Jackson, 由 Wade Robson 和 James Safechuck 提出的，这些都是在那部 controversial, award-winning 的 documentary Leaving Neverland.",菲 还 谈到 了 德斯 关于 韦德 · 罗布森 和 詹姆士 · 塞夫 查克 针对 杰克逊 的 儿童 性虐待 指控，这些 指控 已 在 备受 争议 的 获奖 纪录片 《 离开 梦幻岛 》 中 播出。
Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,罗布森 和 塞夫 查克 均 声称 ， 他们 小时候 就 受到 杰克逊 虐待 多年 。,Robeson and Seifert both claim they suffered years of abuse by Jackson when they were young.,Robson 和 Safechuck 都 声称 他们 在 年少 时期 多年 受到 杰克逊 的 虐待 。,Robson 和 Safechuck 都指控他们在小时候被 Jackson abuse 了好多年。,Robson 和 Safechuck 都 claim 他们小时候就被 Jackson 虐待了很多年。,Robson 和 Safechuck 都 allege 他们 (they) 小时候被 Jackson abuse 了好多年。,罗布森 和 塞夫 均 声称， 他们 小时候 就 受到 杰克逊 的 虐待 多年。,Robson 和 Safechuck 都声称他们在儿童时期被 Jackson 欺负了好多 years.,"罗布森 and 塞夫 查克 both claim, 他们小时候就受到了杰克逊的虐待多年."
"Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""",菲 德斯 声称 ： “ 恋童 癖 整个 都 是 胡说八道 … … 这个 家伙 有 多个 女朋友 ， 并且 与莉萨 · 玛丽 · 普雷斯利 有 合法婚姻 ， 这 就是 他 的 生活 。 ”,"Federici claim ""Paedophilia whole thing is bullsh*t...this guy got many girlfriend, and he even marry Lisa Marie Presley legit, that's his life. """,菲 德斯 声称 “ 这个 整个 的 性恋 儿童 的 问题 完全 是 无稽之谈 … 这个 人有 女友 ， 并 有 合法 的 婚姻 与 李萨 · 马里 · 普雷斯利 （ Lisa   Marie   Presley ） ， 这 就是 他 生活 的 方式 。 ”,"Fiddes 讲 ""这个 paedophile 的事真是 nonsense... 那个家伙有女朋友，还跟 Lisa Marie [Presley] 结过婚，这就是他生活的方式。""","菲德斯 say: “恋童癖 totally 是胡说八道... this guy got 多个女朋友, 而且跟莉萨·玛丽·普雷斯利有合法婚姻, 这就是他的生活。”","Fiddes 讲过 ""this whole paedophile thing 是 complete nonsense... 那个家伙有 girlfriends 还有一个 legitimate marriage to Lisa Marie [Presley], 这就是他生活的方式。""",菲 德斯 声称：“恋童癖 整个 都 是 胡说八道… 这个 家伙 有 多个 女朋友， 并且 与莉萨 · 玛丽 · 普雷斯利 有 合法婚姻， 这 就是 他 的 生活。”,"Fiddes claimed that ""this whole paedophile thing 是 complete nonsense... 这个 guy 有 girlfriends 和一个 legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""",菲德斯 声称: “这个家伙 有 多个女朋友，并且 与莉萨·玛丽·普雷斯利 有 合法婚姻，这 就是 他 的 生活。”
