src,tgt,src_translated,tgt_translated,baseline_src,baseline_tgt,silver_src,silver_tgt,gold_src,gold_tgt
"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims",前 保镖 声称 迈克尔 · 杰克逊 为 登上 头条新闻 在 鼻子 上 贴 上 胶带,Ex-bodyguard claim Michael Jackson stick tape on nose to get media attention,迈克尔 · 杰克逊 穿着 鼻子 上 带有   b ă ng 带 的 面具 ， 前 保镖 声称,"Michael Jackson wear tape on nose to get front pages, former bodyguard claim",Former bodyguard claim Michael Jackson stick tape on nose for make news,Former bodyguard claims Michael Jackson wore tape on his nose to get front pages,前保镖声称迈克尔·杰克逊为登上头条新闻贴胶带在鼻子上,Former bodyguard say Michael Jackson wore tape on nose for front page,Former bodyguards claim that Michael Jackson glued tape on his nose to make it to the headlines
Michael Jackson's former bodyguard has claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 这位 已故 歌手 故意 做出 一些 古怪 行为 ， 目的 是 为了 故意 煽动 媒体 。,Michael Jackson's ex-bodyguard claim sayah dat late singer do some weird things on purpose to stir up media lah.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 已故 歌手 以 特意 挑衅 媒体 的 意图 培养 了 一些 其 奇特 的 个性 。,"Michael Jackson, the late singer, was known for his eccentricities, and his former bodyguard has claimed that these were cultivated with the deliberate intention of riling up the media.","Michael Jackson's former bodyguard claim, the late singer intentionally make some strange behavior, in order to deliberately incite the media.","Former bodyguard of Michael Jackson, claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.",前保镖 says 迈克尔 · 杰克逊 故意 煽动 media ， 做出 古怪 行为 ， 为了 故意 煽动 media 。,Michael's former bodyguard claimed that some of his eccentricities were cultivated by him with the deliberate intention of riling up the media.,前保镖声称，已故歌手迈克尔·杰克逊故意做出一些古怪行为，目的是故意煽动媒体。
"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",现为 房地产 开发商 兼 武术 / 舞蹈 连锁店 所有者 的 马特 · 菲 德斯 向 《 大 都市报 》 爆料 称 ， 杰克逊 认为 ， 如果 他 不再 是 公众 眼中 的 “ 谜 ” ， 对 他 个人 的 迷恋 就 会 戛然而止 。,"Matt Fidler, who's now da owner of both property dev company and chain of martial arts/dance studios, reveal to The Urban Wire dat Jackson think if he's not da ""mystery man"" to da public, his own fascination wit himself will die out.",马特 · 菲 德斯 （ 一名 房地产 开发商 和 一条 连锁 的 武术 / 舞蹈 馆 的 主   s ở   h ữ u ） 在 接受 《 大都会 》 采访 时说 ， 杰克逊 认为 对 他 的 个人 形象 的 兴趣 将会 停止 ， 如果 他 停止 在 公众 的 视野 中 成为 “ 神秘 人物 ” 。,"""Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a'mystery' in the public eye.""

Translation:

""Matt Fiddes, who is now a property developer and owns a martial arts/dance chain, told Metro that Jackson believed that if he stopped being a'mystery' in the public eye, the fascination around his persona would come to an end.""","Mate Fiddes, a property developer and owner of martial arts/dance franchise, exposed to the Big City Newspaper that Jackson believes that if he is no longer seen as a ""mystery"" by the public, his personal fascination will come to an abrupt end.","Fiddes, Matt, owner of martial arts/dance chain, said to Metro, if he stopped being a mystery, fascination around persona would cease. He is now a property developer.","Matt Fields, the developer and owner of martial arts/dance chains, spilled the beans to the ""Big City Paper"" saying that Jackson thinks that if he's no longer the ""mystery"" in public eyes, his personal ""obsession"" will come to a sudden stop.","Matt Fiddes, property developer, martial arts/dance chain owner, told Metro: Jackson believed fascination would cease if public mystery, he, ceased.","He, enigma, stop abruptly, no longer, if"
"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.",据 报道 ， 为了 登上 头条新闻 ， 他会 戴 上 口罩 ， 并 在 自己 的 鼻子 上 贴 上 胶带 ， 以 引发 热议 。,"Himself will wear mask, tape nose with sticky tape, so dat he can make headlines lah.",他据 报道 会 戴 上 口罩 ， 贴 上 鼻子 上 的 胶带 ， 以此 来 引起 话题 。,"To get front pages, he would reportedly wear surgical masks and put tape on his nose to start conversations.","According to the report, in order to get on the headlines, he will wear a mask and stick tape on his nose to spark discussions.","To spark conversation, he reportedly put tape on his nose and wore surgical masks.","According to the reports, in order to make it to the headlines, he will put on a mask and put tape on his nose to trigger hot discussions.","To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.","For tiānzhuǐ news, he'll wear a mask and tiānzhuǐ tape his nose, to create a buzz."
We'll tell you what's true. You can form your own view.,我们 会 告诉 你 真实 的 事 。 你 可以 有 自己 的 观点 。,"We tell you straight lah, you got your own opinion.",我们 告诉 你 真相 ， 你 自己 去 形成 自己 的 观点 。,"We tell you what's true, you form your own view.",We will tell you the real thing. You can have your own view.,"We'll tell you what's true, you can form your own view.","We will tell you the truth, you can have your own point of view.","We'll tell you what's true, you can form your own view.","You will tell us real thing, you can have own view."
"""He knew how to manipulate the media. He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands - or tape on his nose was a favourite one. He would say he wanted his life to be the greatest mystery on Earth.""",“ 他 知道 如何 操纵 媒体 。 他 完全 知道 如何 登上 头条新闻 ， ” 做 了 杰克逊   10   年 保镖 的 菲 德斯 说道 。 “ 脸上 戴上 口罩 ， 或者 用 胶带 粘 在 手上 ， 或者 用 胶带 粘 在 鼻子 上 （ 这个 他 最 喜欢 做 ） ， 在   90%   的 情况 下 ， 这种 方法 很 奏效 。 他会 说 ， 他 希望 自己 的 一生 成为 全球 最大 的 谜 。 ”,"“Dia know how to play media leh. Dia know how to get on front page sure. Wear mask on face, or stick tape on hand, or on nose (he like dis one most), 90% of time it work lor. He say he want his own life to be biggest mystery in world.”",费 德斯 （ Fiddes ） 说 ： “ 他 知道 如何 操控 媒体 。 他 知道 精确 地 如何 获得 前页 的 头条新闻 。 ” 他 身边 的 保镖 10 年 说 ： “ 90% 的 时间 都 成功 了 ， 通过 戴面具 ， 或者 把 胶带 粘 在 手上 ， 或者 把 胶带 粘 在 鼻子 上 他 最 喜欢 用 这个 方法 。 他会 说 他 想 让 自己 的 生活 成为 地球 上 最大 的 谜团 。 ”,"""He knew how to manipulate the media. He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands - or tape on his nose was a favourite one. He would say he wanted his life to be the greatest mystery on Earth.""","He knows how to manipulate media lah. He knows how to get on top news lah, says Fedes who's been Jackson's bodyguard for 10 years. Wearing mask on face or tape on hand or tape on nose (he likes this the most), 90% of the time, this method works. He'll say he wants his whole life to be the biggest global mystery.","His life, his greatest mystery, is full of media manipulation, Fiddes said. He knew how to put on a mask, use sticky tape, or tape his nose to get the front page.","He say know self manipulate this 90% so successful, he will ""fully how hope.""","He knew how to get front page, he knew, he said he wanted life greatest mystery Earth, he knew, he knew, 90% time, he knew how to manipulate media, sticky tape on his hands, tape on his nose, Fiddes, 10 years bodyguard Jackson, put mask on his face, he knew, he knew.",""" He zhidao how to manipulate media. He quanbu zhidao how to zhonggao toutiao xinwen, "" made Jackson 10 years baozhuo de Fedes said. "" On the face with mask, or use glue stick on hand, or use glue stick on nose (this he zui xǐ shì zuò), in 90% of the cases, this method very youxi. He will say, he xiangzi shi zheige yingsheng cheng guobiao zuidong de mi. """
"He added: ""It's backfired on him now, though, that's the sad thing.""",他 补充 说 ： “ 结果 却 事与愿违 ， 这是 非常 可悲 的 。 ”,"""Turn out opposite, very sad leh.""",他 补充 道 ： “ 现在 回火 了 ， 不过 这 是 个 悲伤 的 事 。 ”,"He added, ""But nowadays it's backfired, that's the sad thing.""","He supplimented: ""But the result turned out to be the opposite of what I wanted, which is very sad.""","""it's"" added: backfired sad he ""that's"" thing.","He added: ""The result is, however, the opposite of what I wished for, which is extremely sad.""","""it's"" added: backfired he ""that's"" thing.","He seh, ""Tambah, "" ah, ""the result is different from what he wished, this is very sad. """
"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",菲 德斯 还 谈到 了 韦德 · 罗布森 和 詹姆士 · 塞夫 查克 针对 杰克逊 提出 的 儿童 性虐待 指控 ， 这些 指控 已 在 备受 争议 的 艾美奖 获奖 纪录片 《 离开 梦幻岛 》 中 播出 。,"Fedes also talk bout tis child sex abuse allegations against Jackson by Wade Robson and James Safechuck, which was show in d kontroversial Oscar-winning docu 'Leaving Neverland'.",Fiddes 还 讨论 了 对 杰克逊 的 指控 ， 包括 由 Wade   Robson 和 James   Safechuck 提出 的 对 儿童 性侵犯 的 指控 ， 这些 指控 在 争议 的 和 获奖 的 纪录片 《 离开 neverland 》 中 播出 。,"Fiddes also address allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.","Fides also talked about Wade Robson and James Safechuck accusing Jackson of child sexual abuse, which were aired in the controversial Emmy-winning documentary ""Leaving Neverland"".","Fiddes zhengzhe also mentioned the allegations of child sexual abuse by Wade Robson and James Safechuck against Jackson, which were featured in the Emmy Award-winning, controversial documentary Leaving Neverland.","Fides also talked about Wade Robson and James Safechuck's accusations against Jackson of child sexual abuse, which were aired in the highly controversial Emmy Award-winning documentary film ""Leaving Neverland.""","Fiddes, also addressing allegations of child sexual abuse, aired in award-winning documentary Leaving Neverland, addressed allegations by Wade Robson and James Safechuck.","Fides also talked about Wade Robson and James Safechuck's allegations of child sexual abuse against Jackson, which were aired in the controversial Emmy award-winning documentary film ""Leaving Neverland""."
Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,罗布森 和 塞夫 查克 均 声称 ， 他们 小时候 就 受到 杰克逊 虐待 多年 。,Robeson and Seifert both claim they suffered years of abuse by Jackson when they were young.,Robson 和 Safechuck 都 声称 他们 在 年少 时期 多年 受到 杰克逊 的 虐待 。,"Robson and Safechuck say they were abused by Jackson for years, they say.",Robson and Seef Chuck both claimed that they were abused by Jackson for years when they were young.,Robson and Safechuck both allege that they were abused by Jackson for a number of years.,他们多年声称罗布森和塞夫虐待查克，他们小时候都受到杰克逊的虐待，和和和,Both Robson and Safechuck allege that they were abused by Jackson as children for years.,"Long years, Robson claim they get abused by Jackson since childhood"
"Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""",菲 德斯 声称 ： “ 恋童 癖 整个 都 是 胡说八道 … … 这个 家伙 有 多个 女朋友 ， 并且 与莉萨 · 玛丽 · 普雷斯利 有 合法婚姻 ， 这 就是 他 的 生活 。 ”,"Federici claim ""Paedophilia whole thing is bullsh*t...this guy got many girlfriend, and he even marry Lisa Marie Presley legit, that's his life. """,菲 德斯 声称 “ 这个 整个 的 性恋 儿童 的 问题 完全 是 无稽之谈 … 这个 人有 女友 ， 并 有 合法 的 婚姻 与 李萨 · 马里 · 普雷斯利 （ Lisa   Marie   Presley ） ， 这 就是 他 生活 的 方式 。 ”,"Fiddes said, ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""","Feds claim: ""Pedophilia is all nonsense... This guy has many girlfriends and is legally married to Lisa Marie Presley, that's his life.""","Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""","Fei Des claimed, ""Pedophilia is all hogwash... This guy has multiple girlfriends and is legally married to Lisa Marie Presley, that's his life.""","Fiddes clammed dat ""dis hole paedophile thing is complete nonsense... the guy had girlfriends and had a legit marriage to Lisa Marie [Presley], dat was the way he lived his life.""","Feds claim ""pedophilia is all lies... this guy has multiple girlfriends and is legally married to Lisa Marie Presley, this is his life."""
