original_l1,original_l2,sent_1,sent_2,chosen,lang
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,小孩多时候穿湿衣服出汗，身体会有皮疹， “and” 就会找到他们身体上。,"""而 for children 常常有 wet clothes 和汗水，skin rash 常常会在他们的 body 上找到。""",sent_2,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"“ The clothes wet wet, always see the child sweat sweat one, at the same time can 常能 see rashes on his skin.”","""Ah, dat kid always wet-wet-wet, sweat-sweat-sweat, got red-red-red skin rash on his body, leh?""",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,“而衣服湿漉漉，常常汗淋淋的孩子，通常可以在他身上看到皮肤红疹。”,"“ The clothes always 湿漉漉, and the kid is 常汗淋淋, also can see 皮肤红疹 on him.”",sent_2,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"""而 for children 常常穿着湿衣服和流汗，皮肤 rash 会常常出现在他们的 body.""",小孩多时候穿湿衣服出汗，身体会有皮疹， “and” 就会找到他们身体上。,sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,“而衣服湿漉漉，常常汗淋淋的孩子，通常可以在他身上看到皮肤红疹。”,小孩多时候穿湿衣服出汗，身体会有皮疹， “and” 就会找到他们身体上。,sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,小孩常穿湿衣服出汗，皮肤疹病会常在身体上找到。,"""而 for children 常常有 wet clothes 和汗水，skin rash 常常会在他们的 body 上找到。""",sent_2,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"“ The clothes always 湿漉漉, and the kid is 常汗淋淋, also can see 皮肤红疹 on him.”","Lah, for kids sometimes wear wet clothes and sweat, skin rash often la found on their body.",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"“ The clothes always 湿漉漉, and the kid is 常汗淋淋, also can see 皮肤红疹 on him.”",""" Ah, dat kpkb kid, always got wet-wet clothes, always sweat-sweat, and u can see red spots on his skin la, leh?""",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"""而 for children 常常有 wet clothes 和汗水，skin rash 常常会在他们的 body 上找到。""","""Ah, dat kid always wet-wet-wet, sweat-sweat-sweat, got red-red-red skin rash on his body, leh?""",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,""" Ah, dat kpkb kid, always got wet-wet clothes, always sweat-sweat, and u can see red spots on his skin la, leh?""","""小朋友常常穿着湿湿的衣服和流汗，身上会常常发现皮肤 rash.""",sent_2,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,""" Ah, dat kpkb kid, always got wet-wet clothes, always sweat-sweat, and u can see red spots on his skin la, leh?""","Lah, for kids sometimes wear wet clothes and sweat, skin rash often la found on their body.",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,“而衣服湿漉漉，常常汗淋淋的孩子，通常可以在他身上看到皮肤红疹。”,"""而 for children 常常有 wet clothes 和汗水，skin rash 常常会在他们的 body 上找到。""",sent_2,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"""小朋友常常穿着湿湿的衣服和流汗，身上会常常发现皮肤 rash.""","“ The clothes wet wet, always see the child sweat sweat one, at the same time can 常能 see rashes on his skin.”",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"“ The clothes always 湿漉漉, and the kid is 常汗淋淋, also can see 皮肤红疹 on him.”","""小朋友常常穿着湿湿的衣服和流汗，身上会常常发现皮肤 rash.""",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,""" Ah, dat kpkb kid, always got wet-wet clothes, always sweat-sweat, and u can see red spots on his skin la, leh?""","“ The clothes wet wet, always see the child sweat sweat one, at the same time can 常能 see rashes on his skin.”",sent_2,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,""" Wah, dis kid always sweat a lot, leh? Clothes all wet-wet, skin always red-red, you can see pimples on his skin, lah! ""","Lah, for kids sometimes wear wet clothes and sweat, skin rash often la found on their body.",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,“而衣服湿漉漉，常常汗淋淋的孩子，通常可以在他身上看到皮肤红疹。”,"""小朋友常常穿着湿湿的衣服和流汗，身上会常常发现皮肤 rash.""",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"“ The clothes always 湿漉漉, and the kid is 常汗淋淋, also can see 皮肤红疹 on him.”","“ The clothes wet wet, always see the child sweat sweat one, at the same time can 常能 see rashes on his skin.”",sent_1,English-Chinese
"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"""小朋友常常穿着湿湿的衣服和流汗，身上会常常发现皮肤 rash.""","Lah, for kids sometimes wear wet clothes and sweat, skin rash often la found on their body.",sent_1,English-Chinese
