id,text,src,tgt,human_accuracy,human_fluency,human_code-mixedness
8dcf43a1-4321-481e-994d-4e32773efa84,“而衣服湿漉漉，常常汗淋淋的孩子，通常可以在他身上看到皮肤红疹。”,"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,3,1
3a5227c0-9bb4-4d07-b1ae-2b6b24b5186e,"“ The clothes always 湿漉漉, and the kid is 常汗淋淋, also can see 皮肤红疹 on him.”","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,3,3
694f4571-269e-42b7-a23b-5a465621ef10,""" Wah, dis kid always sweat a lot, leh? Clothes all wet-wet, skin always red-red, you can see pimples on his skin, lah! ""","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,2,1
41b88393-9948-4431-abd0-b13230152e58,""" Ah, dat kpkb kid, always got wet-wet clothes, always sweat-sweat, and u can see red spots on his skin la, leh?""","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,2,1
183db7e5-1019-43fd-b114-bc71bdb44553,"""小朋友常常穿着湿湿的衣服和流汗，身上会常常发现皮肤 rash.""","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,2,2
1e2ecbd9-1c77-4aca-b8a5-ee635c1e32e6,"""而 for children 常常穿着湿衣服和流汗，皮肤 rash 会常常出现在他们的 body.""","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,2,3
da9b9110-a8c6-4f33-91b0-27a94e310199,小孩多时候穿湿衣服出汗，身体会有皮疹， “and” 就会找到他们身体上。,"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,2,1,2
33a9de93-c9fe-4dd9-8dc7-e1cb76734672,"Lah, for kids sometimes wear wet clothes and sweat, skin rash often la found on their body.","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,1,1
bdbce75c-8bc7-4f5a-b3fd-eb9eab1e1732,"“ The clothes wet wet, always see the child sweat sweat one, at the same time can 常能 see rashes on his skin.”","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,2,2
02fcd5c0-e820-4388-8a26-a8f204163eb0,小孩常穿湿衣服出汗，皮肤疹病会常在身体上找到。,"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,2,1
735b31f9-a513-4cc1-8d91-b3da98d99e26,"""而 for children 常常有 wet clothes 和汗水，skin rash 常常会在他们的 body 上找到。""","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,3,2,3
ce6a778c-5416-4c10-95ba-1e1ab27e580f,"""Ah, dat kid always wet-wet-wet, sweat-sweat-sweat, got red-red-red skin rash on his body, leh?""","""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,2,1,1
6749301a-62de-471e-9e1f-a2d64e77f8d7,"""在这个行业跑路的风气那么盛行，P2P平台提取巨额的风险准备金，真的是一个很重要的手段来稳定投资者的军心啊。""","""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,3,3,1
cd8e1f60-4f2d-4cd3-a7a1-bbf9fd05db47,"""作为 cases of absconding with funds 在这个 industry 里频繁发生, P2P platforms 的 loan loss provisions 的 drawing has undoubtedly become 一个重要手段来稳定 investors' confidence.""","""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,3,3,3
73ced24d-3a84-4422-bfc1-a30d5799003c,"In industry run road wind blow big lar, P2P platform extract huge amount risk preparation fund, no doubt is stable investor army heart important means.","""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,2,1,1
b570dd5f-bca5-486a-919c-9f7b620d38bc,"""Ah, lar, in dis industry run ah, P2P platform extract huge sum of risk preparation money, no doubt la, very important tool for stable investor army, leh.""","""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,2,1,1
1137cf29-a124-43b8-8833-51bd80d01651,"As cases of absconding with funds occur freq in industry, P2P platforms' draw hue loan loss provisions has undoubtedly become means to stabilize investors' confidence, leh.","""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,3,2,1
9f478ce4-e867-4ee0-9ce2-0e4495a545f1,“ 在 行业 里， P2P 平台 提取 巨额 的 风险 准备金， 无疑 是 稳定 投资者 军心 的 重要 手段。”,"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,2,3,1
0346ce2b-cc48-4c51-812c-1924e50e5f30,"As P2P平台 ""as cases of absconding with funds occur frequently, loan loss provisions become this drawing undoubtedly important means stabilize investors' confidence.","""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,3,1,1
