src,tgt,src_translated,tgt_translated,baseline_src,baseline_tgt,silver_src,silver_tgt,gold_src,gold_tgt
New Questions Over California Water Project,加利福尼亚州 水务 工程 的 新 问题,California Water Project got new problem lah,加州 水 工程 引发 新 疑问,California Water Project 的新问题出现了。,California 水务工程的新问题 ah.,California water project 有新的 questions 发生了 over 这个问题。,加利福尼亚州的水务工程有很多 新 问题。,California Water Project 有一些 new 问题出现了。,加利福尼亚州水务工程的新问题。
"Critics and a state lawmaker say they want more explanations on who's paying for a proposed $16 billion water project backed by Gov. Jerry Brown, after a leading California water district said Brown's administration was offering government funding to finish the planning for the two giant water tunnels.",在 加利福尼亚州 一个 主要 水务 管理区 披露 州长 杰瑞 · 布朗 领导 的 行政当局 将 提供 政府 资金 以 完成 两条 巨型 输水 隧道 的 规划 之后 ， 有 一些 评论家 和 一位 州 议员 表示 ， 他们 想 进一步 了解 由谁来 为 州长 所 支持 的 拟 耗资 160 亿美元 的 水务 工程 承担费用 。,"Afterah the California Water Authority reveal dat da governor's administration gonna use government funds to plan two big tunnels, some critics and a state legislator say wanna know more who gonna foot da $16 billion bill dat's behind Governor Jerry Brown's mega water project.",批评家 和 州立 法律 人士 指出 ， 要求 对 由 州长 Jerry   Brown 支持 的 16 千亿美元 的 水资源 工程 提供 更 多 的 解释 ， 尤其 是 谁 出资 ， 之后 加利福尼亚 一家 主要 水利 区 表示 ， 布朗 政府 正在 向 政府 提供 资金 ， 完成 这 两个 巨型 水道 隧道 的 规划 工作 。,批评者和一位州立法者说，他们想要更多的解释，关于谁在为加州州长Jerry Brown支持的提议$16 billion水项目付钱， 因为一个主要的加州水区说Brown的政府正在提供资金来完成这两个巨型水隧道的规划。,在 加利福尼亚州 一个 主要水务管理区 跟大家说，州长杰瑞 · 布朗 领导的行政当局 会提供政府资金 来 完成 两条 巨型 输水隧道 的规划。之后，有一些评论家和一位州议员说，他们想更了解，谁来为州长支持的 拟耗资160亿美金 的水务工程 埋单。,"Critics 说 they want more explanation on who is paying for the proposed $16 billion water project, after a leading California water district 说 Brown's administration is offering government funding to finish 这个 planning for the two giant water tunnels.",在 加利福尼亚州 一个 主要 水务 管理区 披露 州长 杰瑞 · 布朗 领导 的 行政当局 会 提供 政府 资金 来 完成 两条 巨型 输水 隧道 的 规划 后 ， 有 一些 评论家 和 一位 州 议员 表示 ， 他们 想 更深入了解 谁来 为 州长 支持 的 拟 耗资 160 亿美元 的 水务 工程 承担费用 。,Critics 和一个州立法者说，他们想要更多的解释，关于谁在为一个提议的 $16 billion 水项目付钱，支持这个项目的是州长 Jerry Brown，之后一个领先的加州水区说，Brown 的政府正在提供资金来完成这两个巨型水隧道的规划。,在 加利福尼亚州 一个 主要 水务 管理区 披露 州长 杰瑞 · 布朗 领导 的 行政当局 将 提供 政府 资金 以 完成 两条 巨型 输水 隧道 的 规划 之后 ， 有 一些 评论家 和 一位 州 议员 表示 ， 他们 想 进一步 了解 由谁来 为 州长 所 支持 的 拟 耗资 160 亿美元 的 水务 工程 承担费用 。
"Critics said the government funding described by the Los Angeles-based Metropolitan Water District on Thursday could run counter to long-standing state assurances that various local water districts, not California itself, would pay for Brown's vision of digging twin 35-mile-long tunnels to carry water from the Sacramento River south, mainly for Central and Southern California.",评论家 表示 ， 洛杉矶 的 MWD 周四 所 提及 的 政府 资金 可能 有悖于 该州 长期以来 的 承诺 ， 该 承诺 说 ， 为了 实现 布朗 所 设想 的 挖掘 两条 35 英里 长 隧道 ， 以便 于 把 水 从 萨克拉门托 河向南 输送 ， 并 主要 供应 给 加利福尼亚州 中部 和 南部 地区 的 愿景 ， 各 地方 水管 区 （ 而 非 加利福尼亚州 自身 ） 将 承担费用 。,"Commentators say da gov funds mentioned by LA's MWD on Thursday go against da long-time promise by da state dat da local water districts (not California itself) will bear da cost, in order to fulfill Brown's vision of tunnelling 2 x 35-mile long tunnels to pipe water from Sacramento River southwards mainly to supply central & southern California regions.",周四 ， 洛杉矶   d ự a 上 的 大都会 水务局 描述 的 政府 拨款 可能 与 州政府 长期以来 对 本州 的 保证 相反 ， 保证 说 各个 当地 的 水务局 而 不是 整个 加州 将 为 布朗 的 愿景 所建 的 ， 两条 长 35 英里 的 水渠 用于 将 Sacramento 河水 南运 ， 主要 供中 南加州 地区 使用 。,批评者说，洛杉矶的 Metropolitan Water District 星期四 描述的政府资金 可能会与长期以来的州承诺相违背， 这些承诺是说 各个地方水区，而不是加州本身，会为布朗的计划付钱，计划是挖掘两条 35 英里长的隧道，从萨克拉门托河向南输送水，主要是为了中加州和南加州。,评论家 say，洛杉矶的MWD周四提到的政府资金可能有点违背该州长期以来的承诺，承诺是为了实现布朗设想的挖掘两条35英里长的隧道，来把水从萨克拉门托河往南输送，主要供应给加州中部和南部的愿景，各地方水管区（而不是加州自己）会负责费用。,"Critics say 政府 funding 由 Los Angeles-based Metropolitan Water District 在星期四 说的，可能会 run counter to 长期的 state assurances that 各种 local water districts, 不是 California itself, 会 pay for Brown's vision of digging twin 35-mile-long tunnels 来 carry water 从 Sacramento River south, 主要是 for Central 和 Southern California.","评论家 say, 洛杉矶 的 MWD 周四 提及 的 政府资金 可能 有悖于 该州 长期以来 的 承诺。","Critics 说 the state 的 long-standing assurances 可能会 run counter to 他们的 concerns, 因为 funding could 影响 Brown's vision.","评论家 表示 , 该州 长期以来 的 承诺 说 , 洛杉矶 的 MWD 周四 所提及 的 政府资金 可能 有悖于 实现 布朗 所设想 的 挖掘 两条 35 英里 长 隧道 以便 把水 从 萨克拉门托 河向南 输送 , 并 主要 供应 给 加利福尼亚州 中部 和 南部 地区 。"
"The $248 million in preliminary spending for the tunnels, which have yet to win regulatory approval, already is the topic of an ongoing federal audit.",这 两条 隧道 的 2.48 亿美元 初期 费用 支出 尚未 获得 监管部门 批准 便 已经 成为 一项 正在 进行 的 联邦 审计 的 主题 。,"""Two tunnels' $248 million initial cost outlay still awaiting approval from regulatory bodies already become a ongoing federal audit topic.""",目前 还 未获 监管 批准 的 隧道 的 初步 开支 2480 万美元 ， 已经 成为 一项 正在 进行 的 联邦 审计 的 主题 。,"这个 $248 million 的 preliminary spending for the tunnels, 还没有得到 regulatory approval, 现在已经是 ongoing federal audit 的话题了。",这两条隧道的2.48亿美金初期费用支出还没获得监管部门批准，已经变成一项正在进行的联邦审计的主题咯。,"The $248 million in preliminary spending for the tunnels, 这个 topic 还在 ongoing 的 federal audit 里, already 引起关注.",这两条隧道的 2.48 亿美元 初期费用支出 还没有 获得 监管部门的批准，但已经 成为 一项 正在进行的 联邦 审计的 主题。,"这 $248 million 的 preliminary spending for the tunnels, which 还未 win regulatory approval, 已经是一个 ongoing federal audit 的话题。",这两条隧道的初期费用支出 尚未 获得 监管部门的批准，便 已经 成为 一项 正在进行的 联邦 审计 的主题。
"On Wednesday, state lawmakers ordered a state audit of the tunnels-spending as well.",一些 州 议员 也 于 周三 责令 对 隧道 费用 支出 情况 进行 一次 州 内 审计 。,Some state reps also call lah on Wednesday for a state audit on tunnel fees expenses.,周三 ， 州立 法律 人员 下令 对 隧道 支出 进行 州级 审计 。,星期三，州立法者叫了一个州审计来查 tunnels 的花费。,Some州议员 also on Wednesday 责令 do 一次州内审计 on the 隧道费用支出情况.,"On Wednesday, 州的 lawmakers ordered 对于 tunnels-spending 的 audit.",一些州议员 周三 责令对隧道费用支出情况进行一次州内审计。,星期三，州立法者 ordered 进行一个州审计关于隧道开支。,Some州议员 责令 对 隧道费用支出情况进行一次州内审计。
"On Thursday, state spokeswoman Nancy Vogel said that despite the account of the Los Angeles-based Metropolitan Water District, no money from the state's general fund would be used finishing the current planning phase of the twin tunnels.",该州 的 发言人 南希 · 沃格尔 周四 表示 ， 尽管 该 账户 属于 洛杉矶 市政 水管 区 ， 却 不会 动用 该州 的 任何 普通 资金 来 完成 这 两条 隧道 当前 规划 阶段 的 工程 。,"Spokesperson Nancy Vogel say on Thursday, dat despite dis account belong to LA City Water & Power, no state ordinary funds goin be use fer complete dis tunnel project in current stage.",星期四 ， 州   spokeswoman   Nancy   Vogel 表示 尽管 洛杉矶   Metropolitan   水务局 的 账目 显示 ， 州 的 常规 基金 不会 用于 完成 双 隧道 的 当前 规划 阶段 。,星期四，州发言人 Nancy Vogel 说，尽管洛杉矶的 Metropolitan Water District 说法，州的总基金不会用来完成这两个隧道的当前规划阶段。,"该州 的 发言人 南希 · 沃格尔 周四 say, 虽然 这个 账户 属于 洛杉矶 市政 水管 区， 但 不会 用 该州 的 任何 普通 funds 来 做 这 两条 隧道 现在 的 规划 阶段 的 工程。","On Thursday, state 的 spokeswoman Nancy Vogel 说 despite 洛杉矶 based Metropolitan Water District 的 account, no money from the state's fund 会被用来 finishing the current planning phase of the twin tunnels.",该州 的 发言人 南希 · 沃格尔 周四 表示 ， 尽管 该 账户 属于 洛杉矶 市政 水管 区 ， 可是 不会 动用 该州 的 任何 普通 资金 来 完成 这 两条 隧道 当前 规划 阶段 的 工程 。,星期四，state 的 spokeswoman Nancy Vogel 说，尽管 Los Angeles-based 的 account，state's general fund 不会用来 finish 目前的 planning phase of the twin tunnels.,该州的 发言人 南希 · 沃格尔 周四 表示，尽管 该 账户 属于 洛杉矶 市政 水管 区，却不会动用 该州 的 任何 普通资金 来完成这两条隧道当前规划阶段的工程。
"However, opponents of the tunnels and a taxpayer group were critical Thursday, and Assemblywoman Susan Eggman, one of the state lawmakers behind this week's audit order, asked the state Thursday for clarification.",不过 ， 该 隧道 项目 的 反对者 和 一个 纳税人 团体 周四 提出批评 ， 而且 本周 的 审计 命令 幕后 的 州 立法者 之一 州 议会 女议员 苏珊 · 艾格曼 则 于 周四 要求 该 州政府 澄清 相关 情况 。,"Butteh critics leh, one leh them taxpayers group, complain leh on Thu, and also State Legislator Susan Agema, one of da behind-the-scenes ones behind da audit order, ask State Govt to clear up tings on Thu.",然而 ， 隧道 的 反对者 以及 一个 税 payer 组织 于 星期四 批评 了 此举 ， 州 议员 Susan   Eggman ， 引发 本周 的 审计 命令 之一 ， 星期四 向 州政府 要求 澄清 。,不过，反对隧道的对手和一个纳税人团体星期四批评，州议员Susan Eggman，作为这星期审计命令的背后立法者之一，星期四向州政府要求澄清。,"But, the反对者 of the tunnel project and a 纳税人团体 on Thursday提出批评, and this week’s audit命令, one of the幕后州立法者,州议会女议员苏珊·艾格曼 also on Thursday 要求 the州政府 to澄清 the相关情况.","However, 反对 tunnels 的人和一个纳税人团体在星期四提出批评，而州议员 Susan Eggman, 作为这星期 audit order 背后的州 lawmakers, 星期四向 state 请求 clarification.","不过, the tunnel project 的反对者 and a taxpayer group on Thursday 提出批评, 而且 this week 的 audit order, one of the behind-the-scenes state legislators, state assemblywoman Susan Egeman, also on Thursday 要求 the state government 澄清 相关 情况.","However, 反对者 of the tunnels 和 a taxpayer group 在 Thursday 发表了批评，Assemblywoman Susan Eggman, 一位 state lawmakers, 在 this week's audit order, asked the state 在 Thursday for clarification.",不过， 该隧道项目的反对者和一个纳税人团体周四提出批评，州政府的苏珊·艾格曼女议员则于周四要求澄清相关情况。
"""It's a shell game,"" said David Wolfe, the Howard Jarvis Taxpayers Association's legislative director.",霍华德 贾 维斯 纳税人 协会 立法 主任 大卫 · 沃尔夫 表示 ： “ 这是 一场 骗局 。 ”,"Howard Jarvis Taxpayers Association Legislative Director David Wolfe say, ""Dis one a scam leh.""",大卫 ·   Wolfe 说 ： “ 这是 一个 骗局 ” ， 他 是 Howard   Jarvis   Taxpayers   Association 的 立法 总监 。,"""这是个 shell game,"" David Wolfe 说，Howard Jarvis Taxpayers Association 的立法主任。","霍华德贾维斯纳税人协会的立法主任大卫·沃尔夫说: ""This one is a scam lah.""","“这是一个 shell game,” David Wolfe 说，Howard Jarvis Taxpayers association's legislative director.",霍华德 贾 维斯 纳税人 协会 的 立法 主任 大卫 · 沃尔夫 表示：“这是 一场 骗局。”,"“这是一个 shell game,” 说 David Wolfe, Howard Jarvis 纳税人 association's 的 legislative director.",霍华德 贾 维斯 纳税人 协会 立法 主任 大卫 · 沃尔夫 表示 ： “ 这是 一场 骗局。”
I think it comes back to the audit (request) yesterday: There are way more questions here than there are answers.,我 认为 就 昨天 的 审计 （ 请求 ） 来说 ： 其中 的 问题 远比 答案 多 。,"I think, for yesterday's audit (request) la, the questions got more than the answers.",我 觉得 回头 看 昨天 的 审计 （ 要求 ） ： 这里 的 问题 远 多于 答案 。,我觉得这个回到昨天的 audit request: 这里有更多的问题 比起答案。,"I think 就 yesterday 的 audit (request) 来说, 里面的问题 far more than the answers.",I think 它 comes back to 昨天的 (request): 这里有 way more questions than there are answers.,我 认为 就 昨天 的 审计 （ 请求 ） 来说 ： 其中 的 问题 真的是 多 过 答案。,I think 它 comes back to 昨天的 audit (request): 这里有 way more questions than there are answers.,我 认为 就 昨天 的 审计 （ 请求 ） 来说 ： 其中 的 问题 远比 答案 多。
The tunnels project is endorsed by Brown and by some politically influential water districts and water customers in Central and Southern California.,该 隧道 项目 受到 布朗 以及 加利福尼亚州 中部 和 南部 一些 具有 政治 影响力 的 供水 管理区 和 用水 客户 的 支持 。,Dat tunnel project got Brown and some powerful water district and water customers in Central and Southern California support lah.,隧道 工程 获得 了 布朗 的 支持 以及 中央 和 南加州 一些 政治 影响力 强大 的 水区 和 水用戶 的 支持 。,这个 tunnels project 得到 Brown 和一些在 Central 和 Southern California 有影响力的水区和水客户的支持。,This tunnel project 受到 Brown and 中部加州 plus 南部一些 政治有影响力的 water management districts 和 water users 的支持。,这个 tunnels project 是 endorsed by Brown 和一些在中部和南加州有影响力的水区和水客户。,该 隧道 项目 受到 布朗 以及 加利福尼亚州 中部 和 南部 一些 具有 政治 影响力 的 供水 管理区 和 用水 客户 的 支持。,The tunnels project 是 endorsed by Brown 和一些 politically influential 的水 districts 和 water customers 在 Central 和 Southern California.,该 隧道 项目 受到 布朗 和 加利福尼亚州 中部 南部 一些 有 政治 影响力 的 供水 管理区 和 用水 客户 的 支持。
