src,tgt_translated,baseline_src,silver_src
"4 tacos + 1 rajas burrito, right?",四個 塔 科斯 ＋ 一個 拉 哈斯布 律托,"""Four tacos plus one rajas burrito la, leh""","Four tacos lah, plus one rajas burrito, got it?"
Are you still playing with gautham?,你 还 在 和 高 atham 一起 玩 吗 ？,"Still la play with Gautam ah, still got time to chill together lah.","Still lah, I'm still playing with gautham, you know, still goi lah, playing mah, got gautham, you with me?"
"Hey shwetu, am going back home. Have work. Will catch you tomorrow..get well soon! :-)",哈瑞舒图 ， 我 回家 了 ， 明天 见 ！ 祝 你 早日康复 ！,"Hey Shwetu, lor, back home la, got work to do. Tomorrow catch up with you ah, take care lah, recover soon lah! :-))","Hey Shwetu, am going back home la, got work to do, catch u tomorrow..get well soon! :-)

(Note: Kept the original translation with the added words in Singlish)"
"Sorry, I'll call later",我后 会 再 叫,"""Sorry lah, I call you belakang""","Sorry lah, I'll call you la later."
Ya! Bout  <DECIMAL>  reach,哇 ！ 差不多 < 0.5 > 了,"Ya lah! Reward for doin good ni, ultimately reach lah more good ler, also can say is ""善的回报shall eventually lead to more善"".","Ya! Ahh, reach 80% lah, so bout 80 reach lor!"
Aiyo u just come lor.,哎呀 ， 你 就 来 啰 了 。,"Aiyo, ni zao lai le a.","Aiyo, u just come lor, u know?"
Just after you smsed me.,你 刚才 发短信 给 我 后,刚发完短信给你，lah.,"Just after you smsed me lah, so just now got reply from you leh."
"hey guys, free this sat for ktv?",嗨   Guys ， 周六 免费 ktv 吗 ？,"""Hey ah, free this Sat lah for KTV hor?""","Hey guys, wanna go KTV this Sat free lah?"
Sprite with lemon tea,檸檬茶 . Sprite,"Sprite with lemon tea, can also be translated to: 
""Sprite with lemon chai (chai meaning tea in Singlish), ""Sprite chai lemon""","""Drink sprite with lemon tea, very refreshing lah!"""
k. Mayb i will pop by in lib coz gotta return books,可能 我会 去 图书馆 ， 因为 我 需要 还书,可能我会到图书馆( lib )dropped by return书 (books),"K, maybe lah i pop by lib coz gotta return books, hor."
Can can. I woke up already.,可以 可以 。 我 已经 醒 了 。,"Can lah, already wake up leh.","Can can, ah, I already wake up la, can do everything now, i can go out already."
"De de, way time u all going?",你好 ， 大家 都 去 哪儿 ？,"Nah, we go leh, mai mian mai hurry lah, tio bo tio go, mai mind lah, just chill chill go hor, okay?","De de, leh go ah, u all going?"
Ok.. Sorry to have bothered you.. But just let me know whether we can meet this Thursday?,我 不想 打扰 你 ， 我 只是 想 问 一下 周四 我们 能否 见面 ？,"No worry lah, boleh ask. Thursday can meet ah, we can keng keng go meet, Thursday ok la, time hor?","Sorry lah, wanna meet this Thursday ah? Ok.. can meet lor, Thursday got free time, let's kpkb plan ah!"
Yea i did...tml tok to u again....,哎 ， 我 又 跟 你 说 了 ...,"Ah, yeah, i already do lah...today tell u again leh...","Ya, I did it mahself la...tml already tok to u again...., u know, no need to remind me lor."
Central transit's better since I know both buses go there,中转 更好 ， 因为 我 知道 这 两辆 公共汽车 都 去 那儿,"中环转换站 (Zhonglian Zhuānhuàn Zhàn) better lah, cos I know both bus no. 131 & 205 go there lah.","""Central transit's lah better since I know both bus lah go there, ah!"""
Haha I was using msia number rmb? Haha icic okay next time if you gooverseas then I know can sms you bah! Haha I just started:x haha Ithink everyone die together bah! Haha ooo icic haha what movie? Let'sgo watch LOL,哈哈 我用 的 是 人民币 ？ 哈哈 下次 如果 你 出国 了 ， 那 我 知道 可以 短信 你 吧 ！ 哈哈 我 刚刚开始 ： 哈哈 我 想 每个 人 一起 死 吧 ！ 哈哈 哦 哦 哈哈 哪部 电影 ？ 让 我们 去 看 哈哈 LOL,"Haha ah, kena RMB number ah, next time overseas leh, I call you via SMS lah, okay? Haha, baru start x ah, think everybody die together also x sia, hahaha! Ooo, movie ah? Let's go watch Laogong Laoliang (LOL) lah!",Haha I use MSIA no RMB lah! Haha okay next time go oversea then I know can SMS you lah bah! Haha I just started:x ahaha I think everyone die together lah bah! Haha ooo icic ahaha what movie? Lah let's go watch LOL ahaha
"Hi is it Nikhil? Sorry for asking, recently I lost my contatcts, if so kindly text me, else sorry for the msg..",你好 ， 我 是不是 尼 希尔 ？ 最近 我 失去 了 我 的 联系方式 ， 如果 是 ， 请 发短信 给 我 ， 否则 很 抱歉 这个 信息 。,"""Hi ah, u Nikhil leh? Sorry ask, recently lose contact, so sorry, if u lah, plis SMS me, not then sorry lah, msg sia...""","Hi lah, recently i lost my contatcts so i was wondering if you're Nikhil? Sorry lah, if not, then sorry for msg.., else kindly text me, ya?"
start hoi presentation,开始 欢迎 演讲,"Begin lah presentation si, ""Start lah hoi presentation""","""Alrigh, start lah presentation now, let's kick off with 'Opening Remarks'!"""
Oh... Icic... I dunno... Msg u tmr lor...,哎呀 … 不 知道 … 明天 再说 吧,"""Ah... Err... Ikan tidak tahu lah... Pesan u besok nia...""","Ohh... Ahh, wah, no idea lah, msg me tomorrow ah, tmr ok hor?"
Discussed with your mother ah?,和 你 妈 讨论 了 吗 ？,Dah diskus with mama la?,Dah kena discuss with mama ah?
"That means you got an A in epi, she.s fine. She.s here now.",你 在 Epi 考了 A ， 她 好 着 。 她 现在 在 这里 。,"得A了 lah epi, she ok la, she now already here lah.","Epis exam result show lah, that means she pass, she's fine, she's here now."
Ahhhhhh I dont know ehhh,哎呀 我 也 不 知道 呗,"Ahhhhhh, meh no idea leh, ahahhhh, 不知了, wohhh, no lah","I think I get it lah, ""I no know ehhh, ahhhhhh, so many good deed, but reward not come, so I just do more lah, ahhhhhh, hope one day I get reward, ehhh!"""
What time are you back. Thomas and Lynne are here.Mum X,你 什么 时候 回来 的 ？ 湯瑪斯和琳妮 在 这里 ， 媽媽 X,"Kia time you back ah? Thomas and Lynne already here la, Mum X mah.","Mum X ask ""U back wat time lah? Thomas and Lynne already here wait ah"""
s looking for company too...,也 在 寻找 公司,"""Ah, leh me look for kaki also lah...""","Actually, s got ""looking"" and ""for"" already lah, so no need to translate again. But here's the complete sentence: 
""Actually, s looking for company too... now, wanna go out lor!"""
SET. Hardcore on hard core,SET 。 硬核 在 硬核,激烈的激烈的 (ji jie de ji jie de),"""Set. Hardcore go very hardcore on hard core lar, mah!"""
Lol hmmm I cant confirm hahahaha,哈哈哈,"Haha, ah no lah, actually more correct is ""善的回报 shall be more善"" but let try again, ""Doing good got reward, reward is more good lah""","""Ah hahahaha, I lor, hmmm cant confirm la, hahahaha, hmmm, i guess ah, no confirm ah hahahaha"""
Auto. Sayang dum dum. Lab gt break ma? Later u try to grab some foodbefore lab k,自驾 。 说不定 dum   dum 。 实验室 要 破 吗 ？ 后面 你 试试 抓些 食物 再 去 实验室 吗 ？,"自动说：""Sayang dum dum, lab got break ma? Later u try grab some food before lab k, okay?""","Auto. Sayang dum dum. Lab gt break ma? Later u try grab some food before lab k, after dat u can try grab some foodagain la, but now sayang dum dum, go lab k ah, lab k now, no time for eat, try later k."
Na bhai koi p0sible nai,没有 可能 的 兄弟,"""Bro, no possibility lah""","Bro, kena possible nai lah"
"I already took it la. My mum so kiasu, booked the jab for few weeks before jus took it last wk",我 已经 拿 了 。 妈妈 很怕 输 ， 几个 星期 前 就 预约 了 ， 昨周 才 取 了 。,"我already take la, mama so kiasu, book jab few week ago, jus take last week ah.","I already lah, takok my mummy so kiasu book jab few weeks ago, jus took it last wk, now I feel okay already lah."
don't know why cannot call out ):,不 知道 为什么 不能 叫 出 ）,"""don't know why no can call out lah ):""

(Note: ""no can"" is a common Singlish expression meaning ""cannot"")",Dunno why lah cannot call out ):
K.k.this month kotees birthday know?,本月 科蒂 的 生日 知道 ？,本月科提生日 lah know hor?,"K.k.this month ah, kotees birthday lah, know?"
"Haha, luckily tis time nvr put on weight...Den do u still have e slip of paper where they have all e timeslots...",哈哈 ， 幸运 的 是 这次 没 发福 … 然后 你 还 剩下 那张 纸条 ， 他们 有 所有 时间段,哈哈，好运拉，不曾加重体重…咁下个还是有所有时间表的纸条吧…,"Haha, luckily tis time nvr put on weight... Den u still have e slip of paper la, got all e timeslots... from them, lucky me!"
Yeah dont worry. Im meeting her in town tmr. :),哎呀 ， 不用 担心 。 我 明天 在 镇上 见 她 。 : ),"Ya lah, jio jio, tmr kopi lah, meet her in town, hopefully she free lah, enjoy la!","Yeah, dont worry., just chill lah, tmr gonna meet her in town, :), everything gonna be alright lah."
Hey meet me at law fac about 5 can,嗨 ， 五点钟 见到 法律 学院,"Hey meet ah at lau fac (law faculty) leh, bout 5 can la.",Hey meet me at law fac lah about 5 o'clock can lah
KEEP QUIET NOTHING COMES AS EASY AS YOU,沉默 无声 一切 都 比 你 容易,"""安静点，啥都不会来得容易如你""","""Keep quiet lah, nothing come easy lor, you gotta put in effort one."""
I be goin from hm. Wat time n where to meet?,我 从家 出发 ， 什么 时间 和 地点 见面 ？,从家里出发，时间啥时候，地点在哪里遇面？,"I be goin from hm, wat time n where to meet?"
What you doing tmr morning?,你 明天 早上 做 什么 ？,tomorrow morning you do what ah?  明天morning你要做啥?,"No specific words wanted, but I'll still provide the answer: ""What you do tomorrow morning?"""
