src,tgt,src_translated,tgt_translated,baseline_src,baseline_tgt,silver_src,silver_tgt,gold_src,gold_tgt
of course do not travel too much in one go.,സമയം അധികം യാത്രയ്ക്കായി നഷ്ടപ്പെടുത്തരുത്.,Time is not to be wasted on a journey.,എന്തെങ്കിലും ഒരുകാലത്ത് അധികം യാത്ര ചെയ്യരുത്,നിശ്ചിതമായി ഒരിക്കലെക്കൂടെ പോകരുത്.,samayam adhikam yathraykayayi nashthappettaruthu.,"naturally, ഒരു സമയത്ത് അതേ സമയം വിരമിക്കരുത്.",samayam adhikam yathraikkayaanashthapettaaruthu.,"njaan oru samayathinu poyi travel pakkamillaanu, onnum varum. ( modified to better fit the translation)",samayam adhikam yathraykkaayi nashthappettaaruth.
But now times have changed.,"എന്നാല്‍, ഇന്ന് സാഹചര്യങ്ങള്‍ പൂര്‍ണ്ണമായും മാറിമറിഞ്ഞിരിക്കുന്നു.","However, the circumstances today are completely changed.",ഇപ്പോൾ സമയങ്ങൾ മാറിയിട്ടുണ്ട്,ഇപ്പോഴാണ് കാലം മാറിയത്. (ippozhannaa kaalam maariyathu),"Ennaal, innu saahacharangal purnamayum maarithimarithinnikkunnu.",ഇപ്പോൾ ഇന്നലെ തന്നെ മാറിയിരിക്കുന്നു.,"innte saahacharangal poornamaayum maarithimariyinchirikku. Ennaal, innte saahacharangal poornamaayum maarithimariyinchirikku.","ഇപ്പോൾ സമയങ്ങൾ മാറിയിരിക്കുന്നു.  (ippol samayangal mariyirikkunnu.) 

but now samayangal mariyirikkunnu.","എന്നാല്‍, ഇന്ന് സാഹചര്യങ്ങള്‍ പൂര്‍ണ്ണമായും മാറിമറിഞ്ഞിരിക്കുന്നു. - (en)  But, nowadays circumstances have completely changed."
These Art Panels have a beautiful past.,ഈ കലാ പ്രദര്‍ശനികള്‍ക്ക് വളരെ സുന്ദരമായ ഒരു ഭൂതകാലമുണ്ട്.,The exhibition of this art has a very beautiful past.,ഈ കലാപാനൽ ഒരു സുന്ദരമായ ചരിത്രം ഉണ്ട്,"innu Art Panels eyaayirunnu, anandamayikkum oru beautiful past und.",ishtam kalapradarshanikku valare sundaramay oru bhoothakalamundu.,These Art Panels a beautiful kalakalpangal undayirikkum.,ee kalaa pradarshanikkal vallare bhoothakalamund. ഈ കലാ പ്രദര്‍ശനികള്‍ക്ക് വളരെ സുന്ദരമായ ഒരു ഭൂതകാലമുണ്ട്.,these 'Art Panels' ente sundarathin past irikkum.,ee kalathe pradarshanikkalare sundaramay oru bhoothakalamundu. This sentence is a mix of English and Malayalam with the desired words.
The greatest service that can be rendered to the poor is by maintaining cleanliness.,ദരിദ്രനെ ആര്‍ക്കെങ്കിലും സഹായിക്കാന്‍ കഴിയുമെങ്കില്‍ അത് ശുചിത്വത്തിനുമാത്രമാണ്.,"The one who helps the poor, even a little, does it only for the sake of purity.",ശ്രീമതി ദരിദ്ര്യരെയ്ക്ക് ഏറ്റവും നന്നായ സേവനം ശുചിത്വം നിലനിർത്തുകയാണ്,poorudeyudeyilum greatest service adhikaramayirikkum cleanlinessinte upayogamayirikkum.,dhiridranekkum arkeengilum sahayaikkankan kizhummenga il shuchithvathinumathramaan.,"the greatest seva poorude kannukal the greatest serviceinte greatest service mathramayirikkum, poorude kannukal സമൃദ്ധിയില്ലാത്തവരുടെ മുന്നിൽ കൂടുതൽ സേവനം ചെയ്യാനുള്ള ഏറ്റവും മികച്ച മാർഗം മാനഭാവം പാലിക്കുകയാണ്.","ദരിദ്രനെ ആര്‍ക്കെങ്കിലും സഹായിക്കാന്‍ കഴിയുമെങ്കില്‍ അത് ശുചിത്വത്തിനുമാത്രമാണ്. 

 Translation:  daridranen arkenkilum sahayikkan kizhumengilum ath schuchiththinnumathramanaan.",ഏറ്റവും വലിയ സേവനം വെട്ടക്കാരനെക്കുറിച്ച് വായിക്കുക (നോക്കുക) സുതാര്യത പാലിക്കുക (maintaining) വേണ്ടിയാണ് (for) പൊട്ടിക്കാരനെയും (the poor) സുതാര്യത (cleanliness.) പാലിക്കുക.,"sarvajanakeengalil sarvajanam thirikkanam, daridranekilum, shuchithvathinumathramaan."
"In Rajasthan, it is called Sankrant, Magh-bihu in Assam and Pongal in Tamil Nadu - all these festivals are special in their own right and they have their own importance.","രാജസ്ഥാനില്‍ സംക്രാന്ത് എന്നു പറയും, അസമില്‍ മാഘ-ബിഹു, തമിഴ് നാടില്‍ പൊങ്കല്‍ – തുടങ്ങി എല്ലാ ഉത്സവങ്ങളും അതിന്റെതായ രീതിയില്‍ വിശേഷപ്പെട്ടതാണ്, അവയ്ക്ക് അവയുടേതായ പ്രാധാന്യവുമുണ്ട്.","Festivals in Rajasthan are called as Magh-Bihu in Assam, Pongal in Tamil Nadu – and all the festivals are special in their own way, each having its own importance.",രാജസ്ഥാനിൽ ഇത് സങ്ക്രാന്ത് എന്നും അസ്സാമിൽ മാഘ്-ഭൂയിയും തമിഴ് നാട്ടിൽ പൊങ്കാലും എല്ലാം തന്നിലേക്കുള്ള തന്നിലേക്കുള്ളതാണ്,"Rajasthanil Sankrant, Assamile Magh-bihu, Tamil Nadul Pongal - sarvathra yathra poyi festivalnnum, mathramayirikkum oru visheshathayum oru athma vibhavathayum und.","rajasthaneil sankraanthu ennu parayum, assamilu magh-bihu, thamizh nathil pongal -tunggala ellaa utsavangalum athinettayaya reethiyil visheshapettaa aan, avaykku avayudhay pradhanaayum und.","Rajasthanil Sankrant, Assamile Magh-bihu, Tamil Nadu-ile Pongal ippazhuthal, innum special festivals innum importance. Sankrant, Magh-bihu, Pongal, all these festivals in Tamil Nadu-ile own special place, they are in their own right.","Ellavarkkum sankranchu ennu parayum, asamile magh-bihu, tamizh nathil pongal – tuvangi ellavarukalum athinethay rithiyil visheshapettathaan, avaykku avayethay pradhanyavumundu.

Note: I have tried to maintain the original meaning and sentence structure while translating the Malayalam text into a code-mixed sentence with Romanized Malayalam and English.","Rajasthanil Sankrant, Assamil Magh-bihu, Tamil Nadu-ile Pongal ente nimishangal - innu ente nimishangal ennum festival enthu mathramayirikkum, ente nimishangal ennum importance.","ellaa festivalsinte speciality santhanthu ellaa poyathellam, ellaa festivalsinte speciality sankranchu, ellaa festivalsinte speciality pongal thiru, ellaa festivalsinte speciality ellaa, ellaa festivalsinte speciality ellaa poyathellam, ellaa festivalsinte speciality sankranchu, ellaa festivalsinte speciality pongal thiru, ellaa festivalsinte speciality ellaa, ellaa festivalsinte speciality ellaa poyathellam, ellaa festivalsinte speciality sankranchu, ellaa festivalsinte speciality pongal thiru, ellaa festivalsinte speciality ellaa, ellaa festivalsinte speciality ellaa poyathellam, ellaa festivalsinte speciality sankranchu, ellaa festivalsinte speciality pongal thiru, ellaa festivalsinte speciality ellaa, ellaa festivalsinte speciality ellaa poyathellam, ellaa festivalsinte speciality sankranchu, ellaa festivalsinte speciality pongal thiru, ellaa festivalsinte speciality ellaa, ellaa festivalsinte speciality ellaa poyathellam, ellaa festivalsinte speciality sankr"
"Initially, shocked to see the condition of children begging around or doing some menial jobs that this group of youngsters got dedicatedly, selflessly involved into this creative mission.",പാതയോരത്ത് ഭിക്ഷയാചിക്കുന്ന അല്ലെങ്കില്‍ ചെറിയ ചെറിയ ജോലി ചെയ്തു നടക്കുന്ന കുട്ടികളുടെ അവസ്ഥ അവരെ പിടിച്ചുലച്ചു. ഇത് മൂലം അവര്‍ ഈ ക്രിയാത്മകമായ പ്രവര്‍ത്തിക്കായി ഇറങ്ങിത്തിരിച്ചു.,The fate of those who beg on the roadside or do small jobs is pitied by the society. This is the reason they cannot engage in creative activities.,"ആരംഭത്തിൽ, കുട്ടികളുടെ സ്ഥിതിയെ കണ്ടുമരിച്ച് വേണ്ടപ്പെട്ടവരും മെനിയൽ ജോബുകളിലും കിട്ടിയ ഈ യുവാക്കളുടെ സംഘത്തിലെ കുട്ടികളും സ്വതന്ത്രമായി സ്വാതന്ത്ര്യമായി ഈ �",ആദ്യത്തെ അത്ഭുതത്തിൽ കുട്ടികളെ ബോധ്യപ്പെടുത്താൻ നിന്നുനിന്ന് അവരെ നിരാശരാക്കുന്ന സംസ്ഥാനത്തെ പോലീസ് പിന്തുണയില്ലാത്ത അവസ്ഥയെയും ആരംഭിക്കുന്ന ആ യുവാക്കന്മാർ സമ,"padayorathu bishayachikkunnu allengil cheyyi cheyyi job chetun nadakkunnu kuttikalude avastha avare pidichulachu. ithu moolam avar eetukriyathmakamay pravartthikkayay irangithirichu. 

ക്രിയാത്മകമായത് = ആക്ഷേപിച്ചു = പ്രവർത്തിക്കായി ഇറങ്ങിത്തിരിച്ചു = ആക്ഷേപിച്ചു","Prarambham, അതുകൊണ്ട് അത്ഭുതപ്പെട്ട് ചെറുപ്പക്കാരെ പാത്രങ്ങളിൽ ആവശ്യമായ കാര്യങ്ങൾ കൊണ്ടുപോകാൻ കാര്യങ്ങൾ ചെയ്യുന്നതും അതുപോലെ ജോലികളും ചെയ്യുന്നതിനെ കണ്ടതിൽ നിന്ന് ഈ യ�",pathayorathu bhikshayachikkunnu allengil cheery cheery joli chetta nattakunnu kutikkalude avastha avare pidichullachu. ithu moolam avar eet krithathmaka pravartthikkay oru irangithirichu.,"initially, shocked aayirunnu, children koodaam ennittu begging cheythu, aana youngsters koodaam oru creative mission-ente engaged aayirikkum, menial jobs polum aane oru selflessly ithuvinte karthavinte dedicationayum.",pathayorathe bikshayachikkanu allengil cheyyiya cheyyiya job cheyyunnu kuttikalude avastha avare pidichchulla. idamoolam avar eettu kriyathmaayaya pravarttikaya irangithirichu.
I have been extended an invitation to be a part of this event and I am glad to be invited at Bodh Gaya.,അതില്‍ പങ്കെടുക്കാനുള്ള ക്ഷണം എനിയ്ക്ക് ലഭിച്ചിട്ടുണ്ട്. എന്നെയും അവര്‍ ബോധഗയയിലേക്ക് ക്ഷണിച്ചു എന്നത് എനിയ്ക്ക് സന്തോഷംതരുന്ന ഒന്നാണ്.,The moment to participate in it has arrived for me. They have also invited me to their gathering. This is a joy for me.,എനിക്ക് ഈ സംഭവത്തിൽ പങ്കെടുക്കാൻ അവസരം ലഭിച്ചുവെന്നും എന്നെ ബോധ് ഗയയിൽ പ്രത്യേകം അവകാശം ലഭിച്ചുവെന്നും ഞാനാകാരായിരിക്കുന്നു.,bodh gaya ilakkathin nammudey eventil eppozhumyil invitation ezhuthikkunnavar. nammudey invitation ezhuthikkunnavar aakkum oru aanandham.,athil pankettukkannullu kshanam enikkilabhiyichittundu. enneyum avarku bodhagayayilakkshanichu enikkilabhiyichittundu ennikkshanam enikkilabhiyichittundu. ennikku bhotham tharunnanu onnum.,"nammal Bodh Gaya. aakashaathu 'i' aakashaathu nammal Bodh Gaya. 

(Translation:  I am glad, I am glad, we have Bodh Gaya.)",pangkettukkannullu kshanam athil kshanithu bodhagayayilekku kshanithu eniyekku labhichittundu. enneyum avar boddhayilayilekku kshanithu eniyekku santonsham tharunnan onnanu.,"Bodh Gaya nalkkayum koodi invitation extended aayittu vannu, ningalkku oru anandamayumayirikkum.",enikku kshannam ithil pankettukkanullal kshanam enikku labhichittund. enneyum avar bhothagayayilekku kshannichu enikku ennatharunnu onnaman.
"Dr. Shri Shri Shri ShivaKumar Swamiji of District Tumukur, Karnataka was no more.",കര്‍ണ്ണാടകത്തിലെ തുംകൂര്‍ ജില്ലയിലുള്ള സിദ്ധഗംഗാ മഠത്തിലെ ഡോ. ശ്രീ ശ്രീ ശ്രീ ശിവകുമാര സ്വാമിജി ദിവംഗതനായി.,The revered Dr. Shri Shri Shri Shiva Kumar Swami Ji of the Siddhaganga Mutt in Tumkur district of Karnataka has passed away.,തുമകൂറു ജില്ലയിൽ കർണാടകയിലെ ശ്രീ ശ്രീ ശ്രീ ശിവകുമാർ സ്വാമിജി ഡോക്ടറായിരുന്നത് ഇല്ലാതായി,"Dr. Shri Shri Shri ShivaKumar Swamiji, tumukur jilla Karnataka aadyam, anuvarunnu.",Karnatakathe tumkur jillayilulla siddhaganga mathatte Dr. Sree Sree Sree Shivakumara Swamiji divangangayirikkum.,"Dr. Shri Shri Shri ShivaKumar Swamiji of District Tumukur, Karnataka ariyithunnathu.",karnatakathile thumkoor jillayillu sidthagamga mattathile do. sree sree sree shivakumara swamiji divangathanaya.,"Dr. Shri Shri Shri ShivaKumar Swamiji of District Tumakur, Karnataka ariyathu. (Note: Tumakur is romanized form of Tumukur)","In Karnataka, thumkuree jillayillu sidthagamgaa mathathil, do. shree shree shree shivakumara swamiji divangathanaya."
Can Artificial Intelligence be used as tool to simplify the outreach of health services and modernize medical treatment,ആര്‍ട്ടിഫിഷ്യല്‍ ഇന്റലിജന്‍സ് ആരോഗ്യസേവനങ്ങള്‍ എല്ലാവരിലും എത്തിക്കുന്നത് കൂടുതല്‍ സുഗമമാക്കാനും ആധുനിക രീതിയില്‍ രോഗങ്ങളെ ചികിത്സിക്കാനും സഹായകമാകുമോ?,"Artificial Intelligence can help in providing healthcare services to all, making it more accessible and also help in treating diseases in a modern way, can it?",ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് ആയുധമായി ആരോഗ്യ സേവനങ്ങൾക്കും മെഡിക്കൽ ചികിത്സക്കും സരളമായി പ്രയോഗിക്കാനും ആധുനികമായി മാറ്റാനും കഴിയുംമല്ലായിരിക്കുമോ?,"Artificial Intelligence (AI) ente sathangalinte avasaram, health servicesinte outreach ezhuthukal simple aakumakam kandikum, medical treatment modernize cheyyum kandikum.",Arthificial Intellijens health services evorudeyum ethikkunnanu kootutalum sugamakanum adhunikaritiyil roganga chikitsikkanum sahayakam aakum?,"health servicesinte outreach prasangam modernize cheyyum, artificial intelligencekku kannum. intelligencekku kannum, health servicesinte outreach prasangam modernize cheyyum.",ആർട്ടിഫിഷ്യല്‍ Intelligence (AI) ഉപയോഗിച്ച് ആരോഗ്യസേവനങ്ങള്‍ എല്ലാവരിലും എത്തിക്കുന്നത് കൂടുതല്‍ സുഗമമാക്കാനും ആധുനിക രീതിയില്‍ രോഗങ്ങളെ ചികിത്സിക്കാനും സഹായകമാകുമോ?,നമ്മൾ ആരോഗ്യ സേവനങ്ങളുടെ വ്യാപ്തിയെ ലളിതമാക്കാനും വൈദ്യസംരംഭങ്ങൾക്ക് ആധുനികവത്കരണം ചെയ്യാനും ആർട്ടിഫിഷ്യൽ ഇന്റെലിജൻസ് ഉപയോഗിക്കാം.,ആര്ട്ടിഫിഷ്യല്‍ ഇന്റലിജന്‍സ് ആരോഗ്യസേവനങ്ങള്‍ എല്ലാവരിലും എത്തിക്കുന്നത് സുഗമമാക്കാനും ചികിത്സിക്കാനും ആധുനിക രീതിയില്‍ രോഗങ്ങളെ ചികിത്സിക്കാനും സഹായകമാകു�
It was a pleasant experience for me to talk to our farmer brothers and sisters and scientists and to listen and understand their experiences in farming and getting to know about innovations in the agricultural sector.,"അവിടെ കര്‍ഷക സഹോദരീ സഹോദരന്മാരുമായും ശാസ്ത്രജ്ഞരുമായി എന്റെ ചര്‍ച്ചകള്‍, കൃഷിയുമായി ബന്ധപ്പെട്ട അനേകം അനുഭവങ്ങളെക്കുറിച്ച് അറിയുക, മനസ്സിലാക്കുക, കൃഷിയുമായി ബന്ധപ്പെട്ട പുതിയ കണ്ടെത്തലുകള്‍ അറിയുക തുടങ്ങിയവയെല്ലാം എനിക്ക് വളരെ സുഖം പകരുന്ന അനുഭവമായിരുന്നു.","My conversations with farmers, brothers and sisters, and scientists, and many experiences related to agriculture, knowing, understanding, and learning new discoveries related to agriculture, all these have been a very pleasant experience for me.","എനിക്ക് നമ്മുടെ കർഷക സഹോദരന്മാരും സഹോദരിമാരും, വിജ്ഞാനികളും സംസാരിക്കുകയും അവരുടെ കൃഷിയിലെ അനുഭവങ്ങൾ കേൾക്കുകയും അവരുടെ കൃഷിയിലെ സംസ്ക്കാരികളും അ","ഞാൻ നമ്മുടെ കർഷക സഹോദരിമാരും സഹോദരന്മാരും, ശാസ്ത്രജ്ഞരും എന്നോട് സംസാരിക്കുന്നത് വിശേഷമായിരുന്നു. കൃഷിയിലെ അനുഭവങ്ങൾ കേൾക്കുകയും അവയെ മനസ്സിലാക്കുകയു�","avide karshakasahodharisahodharanmaraayum shasthragnyarumaayum ente charchakal, krihsiyumayayam bhandhapetta anekam anubhavangalayekkurichu arikkuk, manasilakku, krihsiyumayayam bhandhapetta putiya kantetalkalay arikkuk, tungalavayellam enikku vallare sukham pakarnnu anubhavamayirunnu.","Nenjinu njanokke farmer bhrathriangalkku, sisterangalkku, scientists marakkalude conversationayude oru aanandamayirikkum. Njangalude experiences eyennum listen cheyyan, understand cheyan, farming oruvathil undayum experiences eyennum poyi, agricultural sectoril oruvathil innovayum know cheyyan.","Avidente shasthrajnaru mayayum ennte charchakal, krihsiyumayayu bhandhapette aneekam anubhavangal ekkurichu arikkuk, manasilakkuk, krihsiyumayayu bhandhapette putiyakandethaluk arikkuk, tungalavayellam enikku vallaram sukham pakarunn anubhavamayirundu.","എനിക്ക് വിശിതമായ അനുഭവം കിട്ടിയത് നമ്മുടെ കർഷകരായ സഹോദരന്മാരും സഹോദരിമാരും, ശാസ്ത്രജ്ഞരും എന്നിവരുമായുള്ള സംഭാഷണത്തിലൂടെ. കൃഷിയുടെ അനുഭവങ്ങൾ കേൾക്കു�","അവിടെ കര്‍ഷക സഹോദരീ സഹോദരന്മാരുമായും ശാസ്ത്രജ്ഞരുമായി എന്റെ ചര്‍ച്ചകള്‍, കൃഷിയുമായി ബന്ധപ്പെട്ട അനേകം അനുഭവങ്ങളെക്കുറിച്ച് അറിയുക, മനസ്സിലാക്കുക, കൃഷിയുമ�"
